Block Type,48well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\Dell\Desktop\David\2022-07-22_AML12_TNF-a_H_T_6A_MIF_Expression.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-07-22 14:37:03 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,stepone,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C?,C? Mean,C? SD,?C?,?C? Mean,?C? SE,HK Control ?C? Mean,HK Control ?C? SE,??C?,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,HIGHSD,NOAMP,EXPFAIL
C6,MIF (Fc),TNF-a,UNKNOWN,FAM,NFQ-MGB,306.6197205,189.3810883,496.4363098,25.44358253,25.97425842,0.48143667,9.390073776,9.519616127,0.161565006,,,-8.260306358,TRUE,0.289740989,TRUE,3,19,1,,N,N,N
C6,MIF (Fc),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.05350876,16.45464134,0.365291685,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
C7,MIF (Fc),TNF-a,UNKNOWN,FAM,NFQ-MGB,306.6197205,189.3810883,496.4363098,26.09617615,25.97425842,0.48143667,9.328020096,9.519616127,0.161565006,,,-8.260306358,TRUE,0.289740989,TRUE,3,20,1,,N,N,N
C7,MIF (Fc),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.76815605,16.45464134,0.365291685,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,N,N,N
C8,MIF (Fc),TNF-a,UNKNOWN,FAM,NFQ-MGB,306.6197205,189.3810883,496.4363098,26.38301468,25.97425842,0.48143667,9.840753555,9.519616127,0.161565006,,,-8.260306358,TRUE,0.289740989,TRUE,3,21,1,,N,N,N
C8,MIF (Fc),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.54226112,16.45464134,0.365291685,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
D1,H2O,TNF-a,UNKNOWN,FAM,NFQ-MGB,,,,Undetermined,,,,,,,,,TRUE,0.289740989,TRUE,3,39,1,,N,N,Y
D1,H2O,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,37.1455574,37.1455574,,,,,,,,TRUE,0.036425661,TRUE,3,34,1,,N,N,Y
D2,H2O,TNF-a,UNKNOWN,FAM,NFQ-MGB,,,,Undetermined,,,,,,,,,TRUE,0.289740989,TRUE,3,39,1,,N,N,Y
D2,H2O,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,Undetermined,37.1455574,,,,,,,,TRUE,0.036425661,TRUE,3,39,1,,N,N,Y
D3,H2O,TNF-a,UNKNOWN,FAM,NFQ-MGB,,,,Undetermined,,,,,,,,,TRUE,0.289740989,TRUE,3,39,1,,N,Y,Y
D3,H2O,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,Undetermined,37.1455574,,,,,,,,TRUE,0.036425661,TRUE,3,39,1,,N,Y,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Multiplex,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,GAPDH,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,-LPS (Mock),,,,,,,,,,,,,,,,,,,,,,,,,,
